Код,Наименование,Биоматериал,Тип результата,Лаборатория исполнения,"Алматы, СРОК","Партнерская цена, в тенге.",Цена для клиентов на сайте checkdoc
196,"Тироксинсвязывающая способность (поглощение тиреоидных гормонов; индекс связывания тироксина; индекс свободного тироксина) (Thyroid Uptake, T-Uptake, Thyroxine-Binding Capacity,TBC, Thyroxine-Binding Index, TBI, free T4Index, fT4I)",Сыворотка крови,Кол,МСК,до 4,  3 112 ,  4 357 
197,"Тиреоглобулин (ТГ) (Thyroglobulin, TG)",Сыворотка крови,Кол,МСК,до 5,  3 184 ,  4 458 
57,"Антитела к тиреоглобулину (АТ-ТГ) (Anti-Тhyroglobulin Autoantibodies, Thyroglobulin Antibodies, Tg Autoantibodies, TgAb, Anti-Tg Ab, ATG)",Сыворотка крови,Кол,Алматы,1,  2 464 ,  3 450 
58,"Антитела к тиреоидной пероксидазе (АТ-ТПО, микросомальные антитела) (Аnti-Тhyroid Рeroxidase Аutoantibodies, Antimicrosomal Antibodies, TPO Antibodies, TPOAb, Anti-TPO)",Сыворотка крови,Кол,Алматы,1,  2 464 ,  3 450 
1612,"Трийодтиронин реверсивный (Т3 реверсивный, Reverse Triiodthyronine).",Сыворотка крови,Кол,МСК,до 6,  28 792 ,  40 309 
65,"Кортизол (Гидрокортизон) (Cortisol, Hydrocortisone)",Сыворотка крови,Кол,Алматы,1,  2 384 ,  3 338 
178,"Свободный кортизол, суточная  моча (Free Сortisol, Free Hydrocortisone, 24-Hour urine)",Моча,Кол,МСК, до 2,  2 392 ,  3 349 
205,Альдостерон (Aldosterone),Сыворотка крови,Кол,МСК, до 3,  4 792 ,  6 709 
DRE206,"Ренин (Ренин плазмы крови, прямое определение) (Direct Renin, Plasma)",Плазма крови,Кол,МСК,до 4,  7 208 ,  10 091 
1302ARR,"Альдостерон-рениновое соотношение (Aldosterone-Renin Ratio, ARR)",Плазма крови,Кол,МСК, до 3,  10 392 ,  14 549 
64,Тестостерон (Testosterone),Сыворотка крови,Кол,Алматы,1,  2 224 ,  3 114 
169,Свободный тестостерон (Free Testosterone),Сыворотка крови,Кол,МСК,до 3,  3 992 ,  5 589 
168,"Дигидротестостерон (ДГТ) (Dihуdrotestosterone, DHT)",Сыворотка крови,Кол,МСК, до 6,  15 880 ,  22 232 
195,Андростендион (Androstenedione),Сыворотка крови,Кол,МСК, до 3,  1 832 ,  2 565 
170,"Андростендиол глюкуронид (Андростандиол глюкуронид) (Androstanediol Glucuronide, 3α-Androstanediol Glucuronid, 3α-diol G)",Сыворотка крови,Кол,МСК,до 6,  5 472 ,  7 661 
101,"Дегидроэпиандростерон-сульфат (ДЭА-S04, Dehydroepiandrosterone sulfate, DHEA-S)",Сыворотка крови,Кол,Алматы,1,  2 624 ,  3 674 
1602,Дегидроэпиандростерон (неконъюгированный),Сыворотка крови,Кол,МСК,до 6,  7 624 ,  10 674 
156,"17-кетостероиды (17-КС) в моче  (17-Ketosteroids, Urine)",Моча,Кол,МСК,до 5,  9 592 ,  13 429 
154,"17-ОН-прогестерон (17-Hydroxyprogesterone, 17-OHP)",Сыворотка крови,Кол,МСК,до 3,  2 864 ,  4 010 
149,"Глобулин, связывающий половые гормоны (ГСПГ) (Sex Hormone-Binding Globulin, SHBG)",Сыворотка крови,Кол,МСК, до 2,  3 600 ,  5 040 
62,"Эстрадиол (Э2) (Estradiol, E2)",Сыворотка крови,Кол,Алматы,1,  2 384 ,  3 338 
63,Прогестерон (Progesterone),Сыворотка крови,Кол,Алматы,1,  2 224 ,  3 114 
1771,"Метаболиты эстрогенов и прогестерона, 24-ч моча (Estrogens and progesterone metabolites, 24-h urine)",Моча,Кол,МСК,до 6,  38 392 ,  53 749 
1144,"Антимюллеров гормон (АМГ) (Anti-Mullerian Hormone, AMH, Mullerian Inhibiting Substance, MIS)",Сыворотка крови,Кол,МСК, до 4,  6 880 ,  9 632 
1145,Ингибин В (Inhibin B),Сыворотка крови,Кол,МСК, до 9,  9 592 ,  13 429 
1158,"Трофобластический бета-1-гликопротеин (ТБГ) (Trophoblastic beta-1-Globulin, TBG)",Сыворотка крови,Кол,МСК,до 7,  3 448 ,  4 827 
66,"Хорионический гонадотропин человека (ХГЧ, бета-ХГЧ, β-ХГЧ) (Human Chorionic Gonadotropin, HCG)",Сыворотка крови,Кол,Алматы,1,  2 224 ,  3 114 
189,"Свободный β-ХГЧ (свободная β-субъединица хорионического гонадотропина человека) (Free Human Chorionic Gonadotropin, Free HCG)",Сыворотка крови,Кол,МСК, до 2,  3 112 ,  4 357 
207,"Плацентарный лактоген (Хорионический соматомаммотропин) (Placental Lactogen, PL, Human Placental Lactogen, hPL, Chorionic Somatomammotropin, CS, Human Chorionic Somatomammotropin, hCS)",Сыворотка крови,Кол,МСК, до 6,  8 472 ,  11 861 
161,"Ассоциированный с беременностью протеин-А плазмы (Pregnancy-Associated Plasma Protein-A, PAPP-A)",Сыворотка крови,Кол,МСК, до 2,  3 112 ,  4 357 
134,"Свободный эстриол (Estriol Free, Е3)",Сыворотка крови,Кол,МСК, до 3,  2 472 ,  3 461 
PRS1-INV,"Пренатальный скрининг трисомий: I триместр (PRISСA-1) (Maternal Screen, First Trimester; Prenatal Screening I; PRISСA I (Prenatal Risk Calculation))",Сыворотка крови,Кол,МСК,до 3,  8 792 ,  12 309 
PRS2-INV,"Пренатальный скрининг трисомий: II триместр (PRISСA-2) (Maternal Screen, Second Trimester; Prenatal Screening II; PRISCA II (Prenatal Risk Calculation))",Сыворотка крови,Кол,Алматы/МСК, до 3,  10 920 ,  15 288 
1634,Плацентарный фактор роста (PLGF),Сыворотка крови,Кол,МСК,до 4,  19 992 ,  27 989 
1648,Растворимая fms-подобная тирозинкиназа-1 (sFlt-1),Сыворотка крови,Кол,МСК,до 4,  19 192 ,  26 869 
1649,"Маркеры риска преэклампсии: sFlt-1, PlGF, соотношение sFlt-1/PlGF",Сыворотка крови,Кол,МСК,до 4,  35 192 ,  49 269 
172,Инсулин (Insulin),Сыворотка крови,Кол,Алматы,1,  3 184 ,  4 458 
173,Проинсулин (Proinsulin),Сыворотка крови,Кол,МСК, до 8,  6 520 ,  9 128 
148,С-пептид (C-Peptide),Сыворотка крови,Кол,МСК, до 2,  3 104 ,  4 346 
11HOMA-KZ,"Оценка инсулинорезистентности: глюкоза (натощак), инсулин (натощак), расчет индекса HOMA-IR (Insulin Resistance: Fasting Glucose/Insulin, Homeostasis Model Assessment of Insulin Resistance, HOMA-IR)",Плазма крови; Сыворотка крови,Кол,Алматы,1,  3 992 ,  5 589 
КАТЕПЛ,"Катехоламины (адреналин, норадреналин, дофамин) в плазме крови – КАТЕПЛ (Catecholamines: Epinephrine/Adrenaline, Norepinephrine/Noradrenaline, Dopamine, Plasma)",Плазма крови,Кол,МСК,до 6,  11 192 ,  15 669 
151,"Катехоламины (адреналин, норадреналин, дофамин) в моче (Catecholamines: Epinephrine/Adrenaline, Norepinephrine/Noradrenaline, Dopamine, Urine)",Моча,Кол,МСК,до 6,  15 192 ,  21 269 
950,"Метаболиты катехоламинов и серотонина, суточная моча: ванилилминдалевая кислота (ВМК), гомованилиновая кислота (ГВК), 5-гидроксииндолуксусная кислота (5-ГИУК)(Catecholamines and Serotonin Metabolites, 24 Hours-Urine: Vanillylmandelic Acid, VМА, Homovanillic Acid, НVА, 5-Hydroxyindoleacetic Acid, 5-НIАА)",Моча,Кол,МСК,до 5,  12 312 ,  17 237 
1166,"Метанефрины фракционированные (свободные и конъюгированные), 24-часовая моча (Metanephrines fractionated, free and conjugated , 24-h urine)",Моча,Кол,МСК,до 6,  11 832 ,  16 565 
152,"Катехоламины (адреналин, норадреналин, дофамин) в моче (Catecholamines: Epinephrine/Adrenaline, Norepinephrine/Noradrenaline, Dopamine, Urine)",Моча,Кол,МСК,до 6,  10 392 ,  14 549 
1270,"Гистамин в плазме крови  (Histamine, Plasma)",Плазма крови,Кол,МСК,до 5,  12 632 ,  17 685 
993,"Серотонин в сыворотке крови (Serotonin, Serum)",Сыворотка крови,Кол,МСК,до 5,  11 992 ,  16 789 
1674,"Метанефрины фракционированные, разовая моча (свободные + конъюгированные) (Metanephrines fractionated, free + conjugated, random urine)",Моча,Кол,МСК,до 6,  10 152 ,  14 213 
102,"Паратиреоидный гормон (Паратгормон, паратирин, ПТГ) (Parathyroid Hormone, PTH)",Сыворотка крови,Кол,МСК, до 2,  4 304 ,  6 026 
175,Лептин (Leptin),Сыворотка крови,Кол,МСК,до 6,  6 392 ,  8 949 
222,Эритропоэтин (Erythropoetin),Сыворотка крови,Кол,МСК, до 3,  7 192 ,  10 069 
МЭ1,"Основные эссенциальные (жизненно необходимые) микроэлементы в сыворотке крови (Essential Vital Elements, Essential Trace Elements, Serum)",Сыворотка крови,Кол,МСК,до 7,  12 792 ,  17 909 
893,"Никель (Ni) в сыворотке крови (Nickel (Ni), Serum)",Сыворотка крови,Кол,МСК,до 7, 5740/ 1510*,#VALUE!
1111,"Золото (Au) в сыворотке крови (Gold (Au), Serum)",Сыворотка крови,Кол,МСК,до 7, 5740/ 1510*,#VALUE!
873,"Молибден (Mo) в сыворотке крови (Molybdenum (Mo), Serum)",Сыворотка крови,Кол,МСК,до 7, 5740/ 1510*,#VALUE!
1118,"Таллий (Tl) в сыворотке крови (Thallium (Tl), Serum)",Сыворотка крови,Кол,МСК,до 7, 5740/ 1510*,#VALUE!
883,"Мышьяк (As) в сыворотке крови (Arsenic (As), Serum)",Сыворотка крови,Кол,МСК,до 7, 5740/ 1510*,#VALUE!
1491,"Йод в сыворотке (Iodine, serum)",Сыворотка крови,Кол,МСК,до 7, 5740/ 1510*,#VALUE!
814,"Литий (Li) в сыворотке крови (Lithium (Li), serum)",Сыворотка крови,Кол,МСК,до 5,  4 472 ,  6 261 
