Код,Наименование,Цена,Цена со скидкой,Сроки выполнения
08-063 после диализа,Паратгормон (интактный ПТГ ),"6,65",4655,2-4
08-400,Плазменный белок ассоциированный с беременностью (PAPP-A),"6,2",4340,2-4
08-026,Прогестерон,"3,45",2415,1-3
08-087,Прокальцитонин в крови,"9,7",6790,1-3
08-035,Пролактин,"4,05",2835,1-3
08-027,Пролактин + макропролактин (проводится при выявлении повышенного уровня пролактина),"4,05",2835,3-5
04-068,Оценка степени пролиферации вагинального эпителия (гормональное зеркало),"1,5",1050,6-8
07-296,Ренин,"11,65",9905,9-11
08-419,Свободные фракции метанефрина и норметанефрина в крови,"21,3",18105,8-10
08-402,Серотонин в крови,"13,85",11775,8-10
08-174,"Стероидный профиль в слюне: тестостерон, кортизол, эстрадиол, прогестерон",23,19550,7-9
08-056,СТГ (Соматотропный гормон),"10,15",7105,1-3
08-028,Тестостерон,"3,45",2415,1-3
08-022,Тестостерон в слюне (ВЭЖХ-МС/МС),"12,25",10415,13-15
08-068,Тиреоглобулин (ТГ),"4,9",3430,1-3
08-010,Тироксин общий (ТТ4),"3,1",2170,1-3
08-012,Тироксин свободный (FТ4),"3,45",2415,1-3
08-009,Трийодтиронин общий (ТТ3),"3,1",2170,1-3
08-011,Трийодтиронин свободный (FТ3),"3,75",2625,1-3
08-013,ТТГ (тиреотропный гормон),"3,1",2170,1-3
08-029,Фолликулостимулирующий гормон (ФСГ),"3,75",2625,1-3
08-030,Эстрадиол,"3,75",2625,1-3
08-109,Эстрогены (3 показателя) в крови,"13,55",11520,8-10
08-170,Эстрогены и их метаболиты (10 показателей) и их соотношение в суточной моче,"40,5",34425,8-10
08-171,"Метаболиты эстрогенов, расчет соотношений.","38,35",32600,8-10
08-344,Эстриол свободный (неконъюгированный),"3,85",3275,5-7
16-112 пакет,"Женское бесплодие и гормоны (Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты, СОЭ), Анти -ТПО (антитела к тиреопероксидазе),ТТГ (тиреотропный гормон), Тироксин свободный (FТ4)
 Трийодтиронин свободный (FТ3), Эстрадиол, Фолликулостимулирующий гормон (ФСГ),Лютеинизирующий гормон (ЛГ), 17-ОН прогестерон
 Пролактин + макропролактин (проводится при выявлении повышенного уровня пролактина), Антимюллеровый гормон (АМГ), Глобулин, связывающий половые гормоны (ГСПГ), ИСТ (индекс свободного тестостерона), Ферритин, 
 Аланинаминотрансфераза (АЛТ), Аспартатаминотрансфераза (АСТ)","48,25",43425,7-9
15-048 пакет,"VIP обследование для женщин (CA 15-3, Аланинаминотрансфераза (АЛТ), Амилаза общая в сыворотке, Анти-ТПО. Антитела к тиреопероксидазе, Аспартатаминотрансфераза (АСТ), Билирубин общий, ВИЧ. Антитела суммарные и антиген р24 к ВИЧ, Гамма-ГлютамилТранспептидаза (ГГТП), Гемостазиограмма стандартная (Качественная и количественная оценка тромбоцитов, агрегация тромбоцитов (с набором индукторов), АПТВ, протромбиновое время,протромбиновый индекс, тромбиновое время, МНО, фибриноген, РФМК), Гепатит В. Антиген HbsАg, Гепатит С. Суммарные антитела к гепатиту С (anti-HCV-IgM+IgG), Гликированный гемоглобин (HbA1c), Глюкоза, Железо (Fe) в сыворотке,Иммуноглобулин G (IgG),Иммуноглобулин А (IgA), Иммуноглобулин М (IgM), Иммунограмма (клеточное звено: CD3, СD4, СD20,CD8, CD16, ИРИ), Калий (К+) в сыворотке, Кальций общий (Са) в сыворотке,Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты),Лактатдегидрогеназа (ЛДГ), Липидограмма и ЛПОНП (Холестерин, ЛПВП, ЛПНП, ЛПОНП, триглицериды, коэфф. атерогенности), Моча. Общий анализ (ОАМ), Мочевая кислота, Мочевина, Натрий (Na+) в сыворотке, Общий белок, Прогестерон, Пролактин + макропролактин (проводится при выявлении повышенного уровня пролактина), Ревматоидный фактор (РФ), CA 125, Сифилис. Антитела суммарные к T.pallidum, ТТГ (тиреотропный гормон), Эстрадиол)","99,74",89770,10-12
,ОНКОМАРКЁРЫ,,,
08-050,CA 125,"4,3",3010,1-3
08-052,CA 19-9,"4,8",3360,1-3
08-343,CA 242,"8,45",7185,7-9
08-041,Раковый антиген CA 72-4,"7,25",5075,3-5
08-051,CA 15-3,"4,8",3360,1-3
08-040,Маркёр немелкоклеточного рака лёгких. CYFRA 21-1,"7,25",5075,3-5
08-037,HE-4,"7,5",6375,1-3
08-049,Альфа - фетопротеин (АФП),"4,3",3010,1-3
15-263 пакет,Индекс ROMA (СА125 + HE-4),"9,95",8955,1-3
08-039,Белок S100,"14,95",12710,5-7
18-178,"Рак легких BASIC (гены EGFR, KRAS, NRAS, BRAF)",77,65450,15-17
08-180,Хромогранин А,"31,95",27160,7-9
08-181,MCA (муциноподобный рако-ассоциированный антиген),"6,4",5440,15-17
05-038,Определение нейрон - специфической энолазы (NSE) в сыворотке крови методом иммунохемилюминесценции,"7,35",5145,1
15-341 пакет,"Здоровая предстательная железа против рака (ПСА свободный, общий, их соотношение, %)","8,9",8010,2-3
15-342 пакет,"Check-up ""Второе сердце мужчины"", скрининг здоровья предстательной железы (ПСА свободный, общий, их соотношение, %, тестостерон и консультация уролога)","17,1",15390,2
13-011,SCCA (антиген плоскоклеточной карциномы),"25,35",17745,1-3
08-047,ПСА общий,"4,6",3220,2-4
08-048,ПСА свободный,"4,6",3220,2-4
08-053,Раково-эмбриональный антиген (РЭА),"4,3",3010,1-3
16-031 пакет,"Онкологическое исследование лимфатической системы ( Бета-2-микроглобулин в сыворотке, Бета-2-микроглобулин в моче,Лактатдегидрогеназа (ЛДГ) )","13,45",12105,11-13
